127.0.0.1 - - [12/Feb/2018:10:30:40 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:30:42 +0530] "GET /FormGeneratorUtility/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:30:47 +0530] "GET /FormGeneratorUtility/index;jsessionid=F937ED513D858F518F963876128F1D19 HTTP/1.1" 200 85867
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:30:48 +0530] "GET /FormGeneratorUtility/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:30:51 +0530] "GET /FormGeneratorUtility/openForm/DEMO111? HTTP/1.1" 200 12307
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:30:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:30:54 +0530] "POST /FormGeneratorUtility/listForDatatable/DEMO111 HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:37:14 +0530] "GET /FormGeneratorUtility/openForm/DEMO111? HTTP/1.1" 200 12307
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:37:15 +0530] "POST /FormGeneratorUtility/listForDatatable/DEMO111 HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:37:26 +0530] "POST /FormGeneratorUtility/insertForm/DEMO111 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:37:27 +0530] "GET /FormGeneratorUtility/openForm/DEMO111 HTTP/1.1" 200 12371
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:37:27 +0530] "POST /FormGeneratorUtility/listForDatatable/DEMO111 HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:37:29 +0530] "POST /FormGeneratorUtility/restFatchDataFromID/DEMO111 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:37:34 +0530] "POST /FormGeneratorUtility/update/DEMO111 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:37:35 +0530] "POST /FormGeneratorUtility/listForDatatable/DEMO111 HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:37:35 +0530] "POST /FormGeneratorUtility/listForDatatable/DEMO111 HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:37:41 +0530] "GET /FormGeneratorUtility/openForm/DEMO111?gfg=12 HTTP/1.1" 200 12307
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:37:42 +0530] "POST /FormGeneratorUtility/listForDatatable/DEMO111 HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:37:46 +0530] "GET /FormGeneratorUtility/openForm/DEMO111?gfg=12 HTTP/1.1" 200 12307
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:37:46 +0530] "POST /FormGeneratorUtility/listForDatatable/DEMO111 HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [12/Feb/2018:10:37:54 +0530] "POST /FormGeneratorUtility/insert/DEMO111 HTTP/1.1" 200 56
