127.0.0.1 - - [25/Dec/2017:10:13:31 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:13:35 +0530] "GET /FormGeneratorUtility/ HTTP/1.1" 200 14952
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:13:35 +0530] "GET /FormGeneratorUtility/js/bootstrap.min.js HTTP/1.1" 200 50564
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:13:35 +0530] "GET /FormGeneratorUtility/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:13:36 +0530] "GET /FormGeneratorUtility/js/formutility.js HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:13:36 +0530] "GET /FormGeneratorUtility/js/jquery.datetimepicker.full.js HTTP/1.1" 200 101621
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:13:36 +0530] "GET /FormGeneratorUtility/css/jquery.datetimepicker.min.css HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:13:36 +0530] "GET /FormGeneratorUtility/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:14:30 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 500 3996
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:14:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:26:16 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 500 3996
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:26:49 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 500 3996
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:26:51 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 500 3996
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:26:57 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:26:57 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 20795
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:29:48 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 20795
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:33:34 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 20795
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:33:38 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 20795
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:40:48 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 20791
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:42:15 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 20805
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:42:16 +0530] "GET /FormGeneratorUtility/css/jquery.datetimepicker.min.css HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:42:16 +0530] "GET /FormGeneratorUtility/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:42:16 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [25/Dec/2017:10:42:16 +0530] "GET /FormGeneratorUtility/js/formutility.js HTTP/1.1" 200 1524
